COURSE #,TITLE/START DATE,Acad Level,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,Start Time,End Time,Meeting Days,Bldg,Room,XLIST CRS,FEE,Min Cred,Max Cred,COREQ CRS,Section,Term,Seq No,Schools,,,,,,,,,,,,,,Acad Level
GCIS_667_0B,Cloud Ntwks,GR,25,0,Open,Mr J Cannell,03:00PM,04:20PM,T TH,IHK,203,,$70,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,
GCIS_698_0A,Directed Research,GR,10,0,Open,Dr Y Liu,,,,BY-,ARR,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,
GCIS_698_0B,Directed Research,GR,10,0,Open,Dr S Manakkadu,,,,BY-,ARR,,,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0C,Directed Research,GR,10,0,Open,Dr R Matovu,,,,BY-,ARR,,,3.00,0.00,,0C,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0D,Directed Research,GR,10,0,Open,Dr J Nwokeji,,,,BY-,ARR,,,3.00,0.00,,0D,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0E,Directed Research,GR,10,0,Open,Dr M Rahman,,,,BY-,ARR,,,3.00,0.00,,0E,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0F,Directed Research,GR,10,0,Open,Dr M Tang,,,,BY-,ARR,,,3.00,0.00,,0F,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0G,Directed Research,GR,10,0,Open,Dr J Tong,,,,BY-,ARR,,,3.00,0.00,,0G,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0H,Directed Research,GR,10,0,Open,Dr K Wang,,,,BY-,ARR,,,3.00,0.00,,0H,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0I,Directed Research,GR,10,0,Open,Dr R Bazan-Antequera,,,,BY-,ARR,,,3.00,0.00,,0I,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0J,Directed Research,GR,10,0,Open,Dr R Khan,,,,BY-,ARR,,,3.00,0.00,,0J,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0K,Directed Research,GR,10,0,Open,Dr S Tweneboah Koduah,,,,BY-,ARR,,,3.00,0.00,,0K,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0L,Directed Research,GR,10,0,Open,Mr P Capelli,,,,BY-,ARR,,,3.00,0.00,,0L,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0M,Directed Research,GR,10,0,Open,Ms M Obaid,,,,BY-,ARR,,,3.00,0.00,,0M,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_698_0N,Directed Research,GR,10,0,Open,Ms Q Zhang,,,,BY-,ARR,,,3.00,0.00,,0N,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_501_0A,Networking Fundmntl,GR,25,0,Open,Dr R Khan,09:00AM,10:20AM,W F,IHK,203,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
